date,cases
2020-03-05,0.06273204977286294
2020-03-06,0.06273204977286294
2020-03-07,0.06273204977286294
2020-03-08,0.12546409954572588
2020-03-09,0.12546409954572588
2020-03-10,0.12546409954572588
2020-03-11,0.21956217420502025
2020-03-12,0.3450262737507461
2020-03-13,0.5959544728421978
2020-03-14,0.6586865226150608
2020-03-15,0.815516647047218
2020-03-16,1.411471119889416
2020-03-17,1.7251313687537304
2020-03-18,2.5720140406873804
2020-03-19,3.105236463756715
2020-03-20,5.175394106261192
2020-03-21,5.175394106261192
2020-03-22,5.959544728421978
2020-03-23,8.311996594904338
2020-03-24,9.880297839225912
2020-03-25,12.703240079004743
2020-03-26,16.780823314240834
2020-03-27,19.47830145447394
2020-03-28,23.14812636618642
2020-03-29,28.85674289551695
2020-03-30,32.74612998143445
2020-03-31,34.91038569859822
2020-04-01,40.117145829745844
2020-04-02,45.73166428441708
2020-04-03,48.58597254908234
2020-04-04,55.14147175034651
2020-04-05,58.968126786491155
2020-04-06,61.822435051156425
2020-04-07,65.90001828639251
2020-04-08,72.70644568674814
2020-04-09,77.03495712107568
