date,cases
2020-03-01,0.009311968015997216
2020-03-02,0.009311968015997216
2020-03-03,0.013967952023995823
2020-03-04,0.013967952023995823
2020-03-05,0.018623936031994432
2020-03-06,0.032591888055990254
2020-03-07,0.05587180809598329
2020-03-08,0.0605277921039819
2020-03-09,0.06518377611198051
2020-03-10,0.10708763218396798
2020-03-11,0.1210555842079638
2020-03-12,0.21417526436793596
2020-03-13,0.32591888055990254
2020-03-14,0.32591888055990254
2020-03-15,0.5075022568718482
2020-03-16,0.6564937451278038
2020-03-17,0.9777566416797077
2020-03-18,1.5178507866075461
2020-03-19,2.020697059471396
2020-03-20,2.625974980511215
2020-03-21,3.5571717821109363
2020-03-22,4.655984007998608
2020-03-23,5.689612457774299
2020-03-24,6.830328539733958
2020-03-25,9.176944479765256
2020-03-26,11.537528371820551
2020-03-27,14.88983685757955
2020-03-28,18.80086342429838
2020-03-29,23.01452895153712
2020-03-30,26.51582892555207
2020-03-31,31.390644181926614
2020-04-01,36.172339758141185
2020-04-02,41.90385607198747
2020-04-03,47.77039592206572
2020-04-04,53.71608750027995
2020-04-05,57.46415462671882
2020-04-06,63.41915817294904
2020-04-07,68.62454829389148
2020-04-08,73.05238908549816
2020-04-09,78.30899503052859
