date,cases
2020-02-27,0.03443376530951031
2020-02-28,0.03787714184046134
2020-02-29,0.03787714184046134
2020-03-01,0.03787714184046134
2020-03-02,0.03787714184046134
2020-03-03,0.03787714184046134
2020-03-04,0.041320518371412374
2020-03-05,0.0550940244952165
2020-03-06,0.06542415408806959
2020-03-07,0.06542415408806959
2020-03-08,0.07919766021187372
2020-03-09,0.08264103674282475
2020-03-10,0.10674467245948197
2020-03-11,0.11363142552138403
2020-03-12,0.14117843776899228
2020-03-13,0.1997158387951598
2020-03-14,0.23759298063562115
2020-03-15,0.2754701224760825
2020-03-16,0.29957375819273974
2020-03-17,0.3649979122808093
2020-03-18,0.5716005041378712
2020-03-19,0.8539573796758557
2020-03-20,1.329143340947098
2020-03-21,1.8835269624302138
2020-03-22,2.2003176032777088
2020-03-23,2.506778114532351
2020-03-24,2.9509736870250336
2020-03-25,3.897902233036567
2020-03-26,5.309686610726489
2020-03-27,6.786895142504482
2020-03-28,8.198679520194405
2020-03-29,9.372870917248706
2020-03-30,10.55394906736491
2020-03-31,12.3548349930523
2020-04-01,15.157743489246439
2020-04-02,17.051600581269504
2020-04-03,19.878612713180303
2020-04-04,22.60921030222447
2020-04-05,24.50651077077849
2020-04-06,28.0635187272509
2020-04-07,30.88020072956885
2020-04-08,34.07909752682235
2020-04-09,39.15807790997512
